nome,contato_principal,whatsapp,categorias_que_fornece,observacoes
Mega Distribuidora - Alimentos,Alex Exceller,+55 79 99987-1286,"Limpeza, Confeitaria, Refrigeração, Proteína, Estoque seco, Hortifruti, Utensílios",mesma empresa que "Mega Distribuidora - Bebidas" — divisão de alimentos
Mega Distribuidora - Bebidas,Walkennedy,+55 79 99690-4497,"Bebidas - Refrigerantes, Bebidas - Cervejas, Bebidas - Destilados",mesma empresa que "Mega Distribuidora - Alimentos" — divisão de bebidas
Asa Branca Distribuidora - Alimentos,Priscilla,+55 79 98131-1365,"Limpeza, Confeitaria, Refrigeração, Proteína, Estoque seco, Hortifruti, Utensílios",mesma empresa que "Asa Branca Distribuidora - Bebidas" — divisão de alimentos
Asa Branca Distribuidora - Bebidas,Nadson Oliveira (Moreira),+55 79 98134-2902,"Bebidas - Refrigerantes, Bebidas - Cervejas, Bebidas - Destilados",mesma empresa que "Asa Branca Distribuidora - Alimentos" — divisão de bebidas
Fasouto Distribuidora,Jackson Fasouto,+55 79 99835-5484,"Limpeza, Confeitaria, Refrigeração, Proteína, Estoque seco, Hortifruti, Utensílios, Bebidas - Refrigerantes, Bebidas - Cervejas, Bebidas - Destilados",bebidas e alimentos
Ekal Distribuidora,Vini Santos (Deivini),+55 79 99177-7879,"Limpeza, Confeitaria, Refrigeração, Proteína, Estoque seco, Hortifruti, Utensílios, Bebidas - Refrigerantes, Bebidas - Cervejas, Bebidas - Destilados",bebidas e alimentos
Laticínios Rocha (Barra dos Coqueiros),Atendimento Pedidos,+55 79 99849-7536,"Refrigeração, Confeitaria",contato salvo como "Laticinios Rocha Barra Pedidos"
Vinhedo Adega,Fernando Almeida (Vitelinho),+55 79 99932-8630,Bebidas - Vinhos,adega especializada em vinhos
Forneria,Claudio,+55 79 99932-8258,Confeitaria,fornecedor de pães (baguete / brioche sem corte)
Comel Distribuidora,,+55 79 99988-4433,"Limpeza, Confeitaria, Estoque seco",confirmar nome do contato
Mercado Livre,,,Bebidas - Destilados,canal de compra avulsa (Paragon RUE Berry)
